timestamp,protocol,length,src_ip,dst_ip,src_port,dst_port,tcp_flags
1757465612.410293,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.410294,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.410295,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.410296,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.410297,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.410298,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.410299,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.4103,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.410301,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.410302,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.410303,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.410304,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.410306,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.410307,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.410308,DATA,1153,104.26.11.240,172.16.81.49,0,0,0
1757465612.410309,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.41031,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.411135,DATA,88,172.16.81.49,104.26.11.240,0,0,0
1757465612.411152,DATA,88,172.16.81.49,104.26.11.240,0,0,0
1757465612.411189,DATA,88,172.16.81.49,104.26.11.240,0,0,0
1757465612.411224,DATA,88,172.16.81.49,104.26.11.240,0,0,0
1757465612.411225,DATA,88,172.16.81.49,104.26.11.240,0,0,0
1757465612.411279,DATA,88,172.16.81.49,104.26.11.240,0,0,0
1757465612.41193,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.411931,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.411933,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.411935,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.411936,DATA,451,104.26.11.240,172.16.81.49,0,0,0
1757465612.411976,DATA,89,172.16.81.49,104.26.11.240,0,0,0
1757465612.412032,DATA,93,172.16.81.49,104.26.11.240,0,0,0
1757465612.412053,DATA,88,172.16.81.49,104.26.11.240,0,0,0
1757465612.412106,DATA,88,172.16.81.49,104.26.11.240,0,0,0
1757465612.412134,DATA,88,172.16.81.49,104.26.11.240,0,0,0
1757465612.412147,DATA,88,172.16.81.49,104.26.11.240,0,0,0
1757465612.412168,DATA,88,172.16.81.49,104.26.11.240,0,0,0
1757465612.423187,DATA,66,104.26.11.240,172.16.81.49,0,0,0
1757465612.4261,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.426103,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.426338,DATA,86,172.16.81.49,104.26.11.240,0,0,0
1757465612.426353,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.426355,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.426481,DATA,86,172.16.81.49,104.26.11.240,0,0,0
1757465612.428067,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.428069,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.428072,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.428073,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.428074,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.428076,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.428077,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.428079,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.42808,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.428082,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.428083,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.428085,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.428086,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.428087,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.428089,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.42809,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.428092,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.428094,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.428095,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.428097,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.428098,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.4281,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.428102,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.428104,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.428106,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.428107,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.428108,DATA,208,104.26.11.240,172.16.81.49,0,0,0
1757465612.428291,DATA,86,172.16.81.49,104.26.11.240,0,0,0
1757465612.428355,DATA,86,172.16.81.49,104.26.11.240,0,0,0
1757465612.428403,DATA,86,172.16.81.49,104.26.11.240,0,0,0
1757465612.431543,DATA,87,172.16.81.49,104.26.11.240,0,0,0
1757465612.545953,TCP,78,172.16.81.49,172.253.63.94,49307,443,2
1757465612.549335,DATA,71,172.16.81.49,142.251.16.139,0,0,0
1757465612.559637,ARP,60,0.0.0.0,0.0.0.0,0,0,0
1757465612.559639,TCP,74,172.253.63.94,172.16.81.49,443,49307,18
1757465612.559901,TCP,66,172.16.81.49,172.253.63.94,49307,443,16
1757465612.560211,TLS,1466,172.16.81.49,172.253.63.94,0,0,16
1757465612.560247,TLS,942,172.16.81.49,172.253.63.94,0,0,24
1757465612.564205,DATA,68,142.251.16.139,172.16.81.49,0,0,0
1757465612.574039,TCP,66,172.253.63.94,172.16.81.49,443,49307,16
1757465612.574044,TCP,66,172.253.63.94,172.16.81.49,443,49307,16
1757465612.575431,TLS,1466,172.253.63.94,172.16.81.49,0,0,16
1757465612.575434,TLS,130,172.253.63.94,172.16.81.49,0,0,24
1757465612.575573,TCP,66,172.16.81.49,172.253.63.94,49307,443,16
1757465612.575957,TLS,140,172.16.81.49,172.253.63.94,0,0,24
1757465612.576125,TLS,158,172.16.81.49,172.253.63.94,0,0,24
1757465612.576353,TLS,692,172.16.81.49,172.253.63.94,0,0,24
1757465612.576377,TLS,160,172.16.81.49,172.253.63.94,0,0,24
1757465612.589498,TLS,1026,172.253.63.94,172.16.81.49,0,0,24
1757465612.5895,TLS,97,172.253.63.94,172.16.81.49,0,0,24
1757465612.589697,TCP,66,172.16.81.49,172.253.63.94,49307,443,16
1757465612.589935,TLS,97,172.16.81.49,172.253.63.94,0,0,24
1757465612.593457,TLS,596,172.253.63.94,172.16.81.49,0,0,24
1757465612.593459,TLS,140,172.253.63.94,172.16.81.49,0,0,24
1757465612.593464,TLS,97,172.253.63.94,172.16.81.49,0,0,24
1757465612.593465,TLS,105,172.253.63.94,172.16.81.49,0,0,24
1757465612.593465,TLS,139,172.253.63.94,172.16.81.49,0,0,24
1757465612.593466,TLS,140,172.253.63.94,172.16.81.49,0,0,24
1757465612.593467,TLS,97,172.253.63.94,172.16.81.49,0,0,24
1757465612.593559,TCP,66,172.16.81.49,172.253.63.94,49307,443,16
1757465612.594616,TLS,105,172.16.81.49,172.253.63.94,0,0,24
